,limericks,rhyme_score,nonrhyme_score,context_score
0,"you can count your sheep by the number 
 each sheep has its own special number 
 you can count them by count 
 as they walk down the road 
 if they fall count your sheep by the number

",3,6,2.468037099
1,"theres a bam as it sounds so you say 
 but its also a bam you say 
 in the bible its spoken 
 but i dont know if spoken 
 but theres no need to speak bam to say

",4,6,2.283725262
2,"heres a fish that is hard to pronounce 
 as the word for thisfish is obscure 
 it is called a carpata 
 though its called carp at latina 
 or carp in japan as we know

",1,4,2.104398638
3,"theres a fish that ive seen is a croaker 
 its flesh is delicious andaker 
 the name of this fish 
 just means fish  its not  fish 
 and its tasty as fish in aaker

",4,6,1.957398206
4,"on my arm when i stand on my bunk 
 i just drink six or seven or eight 
 when im peeing a pee 
 that last pee is no pee 
 all i drink is the peeing that stunk

",2,6,1.933343843
5,"if you like this dessert youll like best 
 heres some fun with a fruit that is sweet 
 thats a clamsicle made 
 with no butter andade 
 this fun fruit is the best of the best

",2,6,1.886808276
6,"youre a drunkard  you drink cause you think 
 you can stop drinking til you are a pink 
 no more booze  drink a dash 
 for the drink comes in brash 
 as your drinking youre sure to refuse

",2,6,1.860852569
7,"an american guy said i want 
 an american meal so ill bring 
 a small pot or a dish 
 or a bowl with some fish 
 and a dish of some fish  as theyre cheap

",1,6,1.850844756
8,"a backcloth a bandage and paint 
 some are red some are light shade and a 
 small piece of red white 
 a colour you may 
 have seen red when you were in a paint

",1,5,1.850487739
9,"we were looking to buy out the cow 
 now shes gone from our group now we know 
 she was here but i thought 
 we could buy her in lust 
 cause shes gone now our group is cows foe

",3,6,1.840503901
10,"she is smart as a whip in the throat 
 she can smile a lot yes but not the throat 
 what she does is not funny 
 she cant even wince you 
 i can see why shes feeling low throat

",3,3,1.792294145
11,"as youre counting your sheep for the morn 
 make a number each count to the corn 
 count the pats that will pounce 
 count the phelps who willounce 
 count the phelps that will huff and then horn

",4,6,1.792158931
12,"when the doc is preparing to take 
 the abdominal cavity take 
 a warm swallow and tongue 
 to assist with his urge 
 to swallow and swallow a break

",3,6,1.79004693
13,"my mother was born without chums 
 her birthright in life was the glums 
 of our mamas old dad 
 with her mamas in bad 
 shes the one in the family whos chums

",4,6,1.784303993
14,"a bad egg an egg for the dish 
 or an aaa a bad egg in my dish 
 a bad eornot wren 
 or a bad eornot wren 
 a bad egg i havent a wish

",4,6,1.769572109
15,"at my wake im aghast you say harriss 
 though im dead theyll bury my remains 
 ill be buried deep still 
 though im dead theyll feel ill 
 they wont leave me im dead cause my bones

",2,6,1.76773873
16,"you have heard of the old english maid 
 who the maids made an horrible maid 
 since she had to remain 
 in the inns where they may 
 come and serve the old maid at the chorial

",1,6,1.758757114
17,"barracostomous fish and wont eat em 
 any ones that they catch dont eat em 
 theres not much that enthralls 
 the cichlids the small 
 and the squishwell dont eat em they eat em

",4,6,1.74874264
18,"with a crith in his ear the young guy 
 just replied with a crick in his eye 
 thats why crith is not dead 
 tho doth not be fated 
 to hear what i say with a crick

",1,6,1.748655632
19,"shes in deep trouble and need for drastic 
 rear end her exterootsic sad 
 seems her life is about 
 but shes far from dead 
 her exterootsis thats deep abatsic

",1,6,1.74701044
20,"if we ever have a real choice of 
 what to do we are forced to weigh of 
 my weigh and its weigh 
 are the best that i lay down 
 so i think we should weigh the weigh of

",3,6,1.74474965
21,"the word ahelps means to come by a vote 
 as a noun an anapestical note 
 or a line in some rhyme 
 or the head in a lim 
 or a line in a rhyme theres a moat

",4,6,1.735549703
22,"theres a coryphant bird thats named kitty 
 its a bird that is shy and docile 
 hes an elegant bird 
 with long legs and long beaks 
 that are cincted and can fly like a kitty

",1,6,1.734735876
23,"an amorphist someone who is 
 unconvinced of his place in life 
 has anoughtin to be 
 and is willing to be 
 an amorphist someone whos not

",1,6,1.727642685
24,"to me that a horse that aint bred 
 is a blackbdencoloredbred 
 but a horse that was bred 
 is a blackbdencolored 
 and thats not to say it wasbred

",1,3,1.725389034
25,"i wanted to be a fine surgeon 
 i thought i might have a surgeon 
 i tried out on a mission 
 my surgeon was mission 
 it seems he is no good surgeon

",4,0,1.687058963
26,"said a chortle that sounds really hip 
 sir a clap is a musical clip 
 and a clap is a clanger 
 like clapclangers andanger 
 on your flute it goes clapestically

",2,6,1.680907816
27,"ill have to do dishes at home 
 i have food pantries galore 
 when im out in the yard 
 ill have things to eat 
 i have cookingamps galore

",1,6,1.670682013
28,"the duke of aussies called duke 
 but a duke in dk means a duke 
 he was named from the dutch 
 but the dk means that such 
 mister duke is a duke in his duke

",4,6,1.659764133
